clip,onset,apex,offset,aus,emotion,objective_class,subject,durasi_frame,durasi_ms,apex_relatif,dipakai_5kelas,n_file,frame_min,frame_max,n_lompatan
EP09_03,61,76.0,121,4+9,disgust,4,sub03,61,305.0,0.25,True,61,61,121,0
EP18_06,26,81.0,126,4+7,disgust,3,sub03,101,505.0,0.55,True,101,26,126,0
EP19_08,101,121.0,141,4+7+9,disgust,4,sub03,41,205.0,0.5,True,41,101,141,0
EP12_01f,261,,321,4+7,disgust,3,sub04,61,305.0,,True,61,261,321,0
EP12_02f,356,387.0,406,4+L9+14,disgust,7,sub04,51,255.0,0.62,True,51,356,406,0
EP13_02f,51,81.0,111,4,others,3,sub04,61,305.0,0.5,True,61,51,111,0
EP13_06f,71,108.0,161,4+6+7,disgust,3,sub04,91,455.0,0.4111111111111111,True,91,71,161,0
EP19_01f,191,209.0,226,4,others,3,sub04,36,180.0,0.5142857142857142,True,36,191,226,0
EP02_07,36,66.0,101,1+2,surprise,2,sub05,66,330.0,0.46153846153846156,True,66,36,101,0
EP03_01,41,81.0,101,14,happiness,7,sub05,61,305.0,0.6666666666666666,True,61,41,101,0
EP03_06,33,66.0,83,1,surprise,5,sub05,51,255.0,0.66,True,51,33,83,0
EP03_07,41,64.0,83,4,others,3,sub05,43,215.0,0.5476190476190477,True,43,41,83,0
EP04_05,16,44.0,66,1,surprise,5,sub05,51,255.0,0.56,True,51,16,66,0
EP04_06,6,49.0,91,L2+12,surprise,7,sub05,86,430.0,0.5058823529411764,True,86,6,91,0
EP05_03,51,71.0,141,?,others,7,sub05,91,455.0,0.2222222222222222,True,91,51,141,0
EP05_09,49,94.0,136,15,others,4,sub05,88,440.0,0.5172413793103449,True,88,49,136,0
EP06_10,85,116.0,136,4,others,3,sub05,52,260.0,0.6078431372549019,True,52,85,136,0
EP07_01,49,66.0,106,?,others,7,sub05,58,290.0,0.2982456140350877,True,58,49,106,0
EP08_05,6,39.0,71,4,others,3,sub05,66,330.0,0.5076923076923077,True,66,6,71,0
EP09_05f,69,69.0,123,R2+15,disgust,7,sub05,55,275.0,0.0,True,55,69,123,0
EP12_03f,11,36.0,61,25,surprise,2,sub05,51,255.0,0.5,True,51,11,61,0
EP12_06,46,76.0,121,17,others,7,sub05,76,380.0,0.4,True,76,46,121,0
EP13_04f,36,69.0,111,?,others,7,sub05,76,380.0,0.44,True,76,36,111,0
EP13_06,16,46.0,76,4,others,3,sub05,61,305.0,0.5,True,61,16,76,0
EP16_03f,39,81.0,138,4,others,3,sub05,100,500.0,0.42424242424242425,True,100,39,138,0
EP16_04f,141,181.0,181,4,others,3,sub05,41,205.0,1.0,True,41,141,181,0
EP19_03,6,29.0,58,4,others,3,sub05,53,265.0,0.4423076923076923,True,53,6,58,0
EP01_01,81,111.0,136,L14+L15,happiness,7,sub06,56,280.0,0.5454545454545454,True,56,81,136,0
EP02_31,99,131.0,148,L2+26+38,surprise,7,sub06,50,250.0,0.6530612244897959,True,50,99,148,0
EP10_08,116,139.0,161,4,others,3,sub06,46,230.0,0.5111111111111111,True,46,116,161,0
EP15_02,56,79.0,106,R1+R2,surprise,2,sub06,51,255.0,0.46,True,51,56,106,0
EP16_05,94,114.0,151,L10,disgust,4,sub06,58,290.0,0.3508771929824561,True,58,94,151,0
EP01_01,79,109.0,156,4+R10,disgust,4,sub07,78,390.0,0.38961038961038963,True,78,79,156,0
EP03_04,11,49.0,76,R4,others,3,sub07,66,330.0,0.5846153846153846,True,66,11,76,0
EP06_01,15,49.0,68,4+38,others,3,sub07,54,270.0,0.6415094339622641,True,54,15,68,0
EP06_02_01,11,66.0,91,4+R10,disgust,4,sub07,81,405.0,0.6875,True,81,11,91,0
EP06_02_02,36,81.0,91,4+R10,disgust,4,sub07,56,280.0,0.8181818181818182,True,56,36,91,0
EP08_02,141,174.0,191,R4+R10,disgust,4,sub07,51,255.0,0.66,True,51,141,191,0
EP15_01,36,64.0,91,R10,disgust,4,sub07,56,280.0,0.509090909090909,True,56,36,91,0
EP18_01,6,24.0,51,R14,others,7,sub07,46,230.0,0.4,True,46,6,51,0
EP18_03,11,54.0,96,7,others,7,sub07,86,430.0,0.5058823529411764,True,86,11,96,0
EP12_07f,26,74.0,118,4,others,3,sub08,93,465.0,0.5217391304347826,True,93,26,118,0
EP12_08f,71,106.0,170,4,others,3,sub08,100,500.0,0.35353535353535354,True,100,71,170,0
EP13_01f,49,86.0,126,15+17,repression,5,sub08,78,390.0,0.4805194805194805,True,78,49,126,0
EP02_01f,21,74.0,91,L12,happiness,1,sub09,71,355.0,0.7571428571428571,True,71,21,91,0
EP05_02,66,119.0,196,4+7,others,3,sub09,131,655.0,0.4076923076923077,True,131,66,196,0
EP05_03,91,116.0,156,4+7,others,3,sub09,66,330.0,0.38461538461538464,True,66,91,156,0
EP05_05,46,84.0,96,L12,happiness,1,sub09,51,255.0,0.76,True,51,46,96,0
EP06_01f,66,144.0,186,15,repression,5,sub09,121,605.0,0.65,True,121,66,186,0
EP06_02f,36,101.0,131,12+15,happiness,7,sub09,96,480.0,0.6842105263157895,True,96,36,131,0
EP09_04,26,71.0,146,15+17,repression,5,sub09,121,605.0,0.375,True,121,26,146,0
EP09_05,26,81.0,111,15,repression,5,sub09,86,430.0,0.6470588235294118,True,86,26,111,0
EP09f,26,64.0,86,15,happiness,5,sub09,61,305.0,0.6333333333333333,True,61,26,86,0
EP13_01,31,74.0,121,17,repression,7,sub09,91,455.0,0.4777777777777778,True,91,31,121,0
EP13_02,71,96.0,131,20,fear,6,sub09,61,305.0,0.4166666666666667,False,61,71,131,0
EP15_05,56,91.0,111,L12,happiness,1,sub09,56,280.0,0.6363636363636364,True,56,56,111,0
EP17_08,6,41.0,76,17,repression,7,sub09,71,355.0,0.5,True,71,6,76,0
EP18_03,11,39.0,81,4+7,others,3,sub09,71,355.0,0.4,True,71,11,81,0
EP06_01f,11,54.0,101,4,others,3,sub10,91,455.0,0.4777777777777778,True,91,11,101,0
EP08_01f,76,114.0,141,4,others,3,sub10,66,330.0,0.5846153846153846,True,66,76,141,0
EP10_01f,111,136.0,171,4,others,3,sub10,61,305.0,0.4166666666666667,True,61,111,171,0
EP11_01,31,64.0,101,4,others,3,sub10,71,355.0,0.4714285714285714,True,71,31,101,0
EP11_01f,36,64.0,91,4,others,3,sub10,56,280.0,0.509090909090909,True,56,36,91,0
EP12_02f,26,54.0,86,4,others,3,sub10,61,305.0,0.4666666666666667,True,61,26,86,0
EP12_03f,26,81.0,111,4,others,3,sub10,86,430.0,0.6470588235294118,True,86,26,111,0
EP12_04,61,101.0,146,4,others,3,sub10,86,430.0,0.47058823529411764,True,86,61,146,0
EP13_01,11,59.0,76,L16,fear,7,sub10,66,330.0,0.7384615384615385,False,66,11,76,0
EP13_02f,41,109.0,131,4,others,3,sub10,91,455.0,0.7555555555555555,True,91,41,131,0
EP13_03f,11,46.0,76,4,others,3,sub10,66,330.0,0.5384615384615384,True,66,11,76,0
EP16_02f,21,64.0,110,4,others,3,sub10,90,450.0,0.48314606741573035,True,90,21,110,0
EP18_01f,11,44.0,73,4,others,3,sub10,63,315.0,0.532258064516129,True,63,11,73,0
EP19_04f,81,84.0,126,4,others,3,sub10,46,230.0,0.06666666666666667,True,46,81,126,0
EP02_06f,71,96.0,116,4+L14,others,7,sub11,46,230.0,0.5555555555555556,True,46,71,116,0
EP08_01f,96,121.0,146,4,disgust,3,sub11,51,255.0,0.5,True,51,96,146,0
EP12_03f,91,141.0,185,4,others,3,sub11,95,475.0,0.5319148936170213,True,95,91,185,0
EP13_02f,51,111.0,141,4+9,disgust,4,sub11,91,455.0,0.6666666666666666,True,91,51,141,0
EP13_03f,6,49.0,81,4,disgust,3,sub11,76,380.0,0.5733333333333334,True,76,6,81,0
EP13_05f,16,61.0,111,4+9,disgust,4,sub11,96,480.0,0.47368421052631576,True,96,16,111,0
EP15_01f,56,89.0,111,4,others,3,sub11,56,280.0,0.6,True,56,56,111,0
EP15_04f,61,76.0,96,R14,others,7,sub11,36,180.0,0.42857142857142855,True,36,61,96,0
EP18_03f,56,106.0,131,4,others,3,sub11,76,380.0,0.6666666666666666,True,76,56,131,0
EP19_03f,11,94.0,151,4,others,3,sub11,141,705.0,0.5928571428571429,True,141,11,151,0
EP01_02,31,99.0,106,4+10,disgust,3,sub12,76,380.0,0.9066666666666666,True,76,31,106,0
EP02_05,41,61.0,140,1+2,surprise,2,sub12,100,500.0,0.20202020202020202,True,100,41,140,0
EP03_02,26,59.0,91,14,others,7,sub12,66,330.0,0.5076923076923077,True,66,26,91,0
EP03_04,60,129.0,156,6+12,happiness,1,sub12,97,485.0,0.71875,True,97,60,156,0
EP04_16,36,56.0,135,4,disgust,3,sub12,100,500.0,0.20202020202020202,True,100,36,135,0
EP06_06,36,76.0,111,1+2,surprise,2,sub12,76,380.0,0.5333333333333333,True,76,36,111,0
EP08_01,46,81.0,106,1+2,surprise,2,sub12,61,305.0,0.5833333333333334,True,61,46,106,0
EP08_03,76,114.0,156,1+2,surprise,2,sub12,81,405.0,0.475,True,81,76,156,0
EP08_07,111,134.0,186,R6+R12,happiness,1,sub12,76,380.0,0.30666666666666664,True,76,111,186,0
EP09_02,16,59.0,101,4+7,disgust,3,sub12,86,430.0,0.5058823529411764,True,86,16,101,0
EP09_06,66,111.0,111,4+7,disgust,3,sub12,46,230.0,1.0,True,46,66,111,0
EP16_02,136,189.0,226,4+5+7+9,disgust,4,sub12,91,455.0,0.5888888888888889,True,91,136,226,0
EP01_01,76,111.0,131,4,others,3,sub13,56,280.0,0.6363636363636364,True,56,76,131,0
EP01_02,76,101.0,116,14,others,7,sub13,41,205.0,0.625,True,41,76,116,0
EP02_02,11,34.0,68,14,others,7,sub13,58,290.0,0.40350877192982454,True,58,11,68,0
EP02_03,26,59.0,66,14,others,7,sub13,41,205.0,0.825,True,41,26,66,0
EP03_01,31,86.0,111,12,happiness,1,sub13,81,405.0,0.6875,True,81,31,111,0
EP08_01,54,81.0,106,4,others,3,sub13,53,265.0,0.5192307692307693,True,53,54,106,0
EP09_10,51,76.0,126,6+12,happiness,1,sub13,76,380.0,0.3333333333333333,True,76,51,126,0
EP12_01,6,41.0,61,4,others,3,sub13,56,280.0,0.6363636363636364,True,56,6,61,0
EP04_04f,11,44.0,86,14,others,7,sub14,76,380.0,0.44,True,76,11,86,0
EP09_03,6,29.0,41,14,happiness,7,sub14,36,180.0,0.6571428571428571,True,36,6,41,0
EP09_04,21,71.0,106,14,happiness,7,sub14,86,430.0,0.5882352941176471,True,86,21,106,0
EP09_06,11,59.0,91,6+12,happiness,1,sub14,81,405.0,0.6,True,81,11,91,0
EP03_02,16,49.0,76,L12,happiness,1,sub15,61,305.0,0.55,True,61,16,76,0
EP04_02,21,46.0,111,1+R2+25,surprise,2,sub15,91,455.0,0.2777777777777778,True,91,21,111,0
EP08_02,21,54.0,78,4+7,disgust,3,sub15,58,290.0,0.5789473684210527,True,58,21,78,0
EP01_05,66,106.0,156,4+R12,happiness,7,sub16,91,455.0,0.4444444444444444,True,91,66,156,0
EP01_08,73,94.0,110,17,repression,7,sub16,38,190.0,0.5675675675675675,True,24,73,96,0
EP01_09f,51,76.0,163,4+12,others,7,sub16,113,565.0,0.22321428571428573,True,113,51,163,0
EP04_02f,181,269.0,271,R12,happiness,1,sub16,91,455.0,0.9777777777777777,True,91,181,271,0
EP01_06,81,86.0,121,12,happiness,1,sub17,41,205.0,0.125,True,41,81,121,0
EP01_13,76,134.0,166,2,surprise,7,sub17,91,455.0,0.6444444444444445,True,91,76,166,0
EP01_15,86,101.0,126,12,happiness,1,sub17,41,205.0,0.375,True,41,86,126,0
EP02_01,91,119.0,136,4+6+7+9,disgust,7,sub17,46,230.0,0.6222222222222222,True,46,91,136,0
EP02_03,81,109.0,131,4+7,disgust,3,sub17,51,255.0,0.56,True,51,81,131,0
EP02_11,161,181.0,210,4+9+17,disgust,4,sub17,50,250.0,0.40816326530612246,True,50,161,210,0
EP02_18f,91,134.0,181,17,repression,7,sub17,91,455.0,0.4777777777777778,True,91,91,181,0
EP03_02,118,139.0,161,4+7,disgust,3,sub17,44,220.0,0.4883720930232558,True,44,118,161,0
EP03_09,96,132.0,161,6+12,happiness,1,sub17,66,330.0,0.5538461538461539,True,66,96,161,0
EP05_02,25,91.0,121,12,happiness,1,sub17,97,485.0,0.6875,True,97,25,121,0
EP05_03,21,56.0,101,12+L14,happiness,7,sub17,81,405.0,0.4375,True,81,21,101,0
EP05_03f,11,59.0,76,17,repression,7,sub17,66,330.0,0.7384615384615385,True,66,11,76,0
EP05_04,6,39.0,71,17,repression,7,sub17,66,330.0,0.5076923076923077,True,66,6,71,0
EP05_09,121,144.0,196,17,repression,7,sub17,76,380.0,0.30666666666666664,True,76,121,196,0
EP05_10,111,129.0,151,17,repression,7,sub17,41,205.0,0.45,True,41,111,151,0
EP06_04,71,91.0,161,4+7,disgust,3,sub17,91,455.0,0.2222222222222222,True,91,71,161,0
EP06_07,216,225.0,246,L12,happiness,1,sub17,31,155.0,0.3,True,31,216,246,0
EP06_08,156,194.0,231,17,repression,7,sub17,76,380.0,0.5066666666666667,True,76,156,231,0
EP07_01,21,71.0,115,4+7,disgust,3,sub17,95,475.0,0.5319148936170213,True,95,21,115,0
EP08_02,21,66.0,88,4+7,disgust,3,sub17,68,340.0,0.6716417910447762,True,68,21,88,0
EP08_03,51,69.0,84,4,others,3,sub17,34,170.0,0.5454545454545454,True,34,51,84,0
EP10_06,104,121.0,161,17,repression,7,sub17,58,290.0,0.2982456140350877,True,58,104,161,0
EP11_01,9,31.0,53,4+7,disgust,3,sub17,45,225.0,0.5,True,45,9,53,0
EP11_02,36,81.0,121,4+7,disgust,3,sub17,86,430.0,0.5294117647058824,True,86,36,121,0
EP12_03,131,156.0,184,17,repression,7,sub17,54,270.0,0.4716981132075472,True,54,131,184,0
EP13_01,146,164.0,191,4,others,3,sub17,46,230.0,0.4,True,46,146,191,0
EP13_03,51,79.0,136,4+7,disgust,3,sub17,86,430.0,0.32941176470588235,True,86,51,136,0
EP13_04,86,104.0,121,4+7,disgust,3,sub17,36,180.0,0.5142857142857142,True,36,86,121,0
EP13_06,86,109.0,131,4+7,disgust,3,sub17,46,230.0,0.5111111111111111,True,46,86,131,0
EP13_09,6,46.0,101,L12,happiness,1,sub17,96,480.0,0.42105263157894735,True,96,6,101,0
EP15_01,81,104.0,111,1,sadness,5,sub17,31,155.0,0.7666666666666667,False,31,81,111,0
EP15_03,319,338.0,356,1,sadness,5,sub17,38,190.0,0.5135135135135135,False,38,319,356,0
EP15_04,109,131.0,185,17,repression,7,sub17,77,385.0,0.2894736842105263,True,77,109,185,0
EP15_05,21,49.0,66,R14,others,7,sub17,46,230.0,0.6222222222222222,True,46,21,66,0
EP16_01f,8,29.0,71,4+7+9,disgust,4,sub17,64,320.0,0.3333333333333333,True,64,8,71,0
EP18_07,36,69.0,103,4+7+9,disgust,4,sub17,68,340.0,0.4925373134328358,True,68,36,103,0
EP08_01,111,139.0,147,4,others,3,sub18,37,185.0,0.7777777777777778,True,37,111,147,0
EP18_01,66,91.0,126,4,others,3,sub18,61,305.0,0.4166666666666667,True,61,66,126,0
EP19_01,95,121.0,140,4,others,3,sub18,46,230.0,0.5777777777777777,True,46,95,140,0
EP01_01f,121,189.0,220,12,happiness,1,sub19,100,500.0,0.6868686868686869,True,100,121,220,0
EP01_02f,36,61.0,127,6+12,happiness,1,sub19,92,460.0,0.27472527472527475,True,92,36,127,0
EP02_01,91,119.0,151,L1+L2,surprise,2,sub19,61,305.0,0.4666666666666667,True,61,91,151,0
EP06_01f,146,174.0,201,L1+L2,surprise,2,sub19,56,280.0,0.509090909090909,True,56,146,201,0
EP06_02f,211,264.0,291,6+7+12,others,1,sub19,81,405.0,0.6625,True,81,211,291,0
EP08_02,76,119.0,155,6+7+12,happiness,1,sub19,80,400.0,0.5443037974683544,True,80,76,155,0
EP11_01f,61,81.0,116,?,others,7,sub19,56,280.0,0.36363636363636365,True,56,61,116,0
EP11_04f,76,96.0,131,L2+14,surprise,7,sub19,56,280.0,0.36363636363636365,True,56,76,131,0
EP13_01,71,104.0,156,4+7+6,disgust,3,sub19,86,430.0,0.38823529411764707,True,86,71,156,0
EP15_03f,51,81.0,101,12,others,1,sub19,51,255.0,0.6,True,51,51,101,0
EP16_01,86,109.0,136,4+9+10,disgust,4,sub19,51,255.0,0.46,True,51,86,136,0
EP16_02,61,79.0,101,4+9+10,disgust,4,sub19,41,205.0,0.45,True,41,61,101,0
EP19_01,66,86.0,101,4,others,3,sub19,36,180.0,0.5714285714285714,True,36,66,101,0
EP19_02,106,129.0,151,L1+L2,surprise,2,sub19,46,230.0,0.5111111111111111,True,46,106,151,0
EP19_03,61,91.0,116,L1+L2,surprise,2,sub19,56,280.0,0.5454545454545454,True,56,61,116,0
EP19_04,46,69.0,86,L1,sadness,5,sub19,41,205.0,0.575,False,41,46,86,0
EP01_03,76,101.0,126,L4,disgust,3,sub20,51,255.0,0.5,True,51,76,126,0
EP03_02,45,74.0,111,14,others,7,sub20,67,335.0,0.4393939393939394,True,67,45,111,0
EP06_03,31,49.0,61,4,disgust,3,sub20,31,155.0,0.6,True,31,31,61,0
EP07_04,96,116.0,151,4,others,3,sub20,56,280.0,0.36363636363636365,True,56,96,151,0
EP10_02,131,166.0,216,14,others,7,sub20,86,430.0,0.4117647058823529,True,86,131,216,0
EP12_01,41,104.0,106,14,others,7,sub20,66,330.0,0.9692307692307692,True,66,41,106,0
EP13_02,71,109.0,121,4,others,3,sub20,51,255.0,0.76,True,51,71,121,0
EP15_03f,86,129.0,181,4,others,3,sub20,96,480.0,0.45263157894736844,True,96,86,181,0
EP16_01,71,111.0,111,4,others,3,sub20,41,205.0,1.0,True,41,71,111,0
EP16_04,81,106.0,121,14,others,7,sub20,41,205.0,0.625,True,41,81,121,0
EP18_03,48,90.0,126,4,others,3,sub20,79,395.0,0.5384615384615384,True,79,48,126,0
EP01_07,6,21.0,36,4,others,3,sub21,31,155.0,0.5,True,31,6,36,0
EP05_02,111,141.0,206,12+14+17,repression,7,sub21,96,480.0,0.3157894736842105,True,96,111,206,0
EP01_12,50,119.0,146,15+17,repression,5,sub22,97,485.0,0.71875,True,97,50,146,0
EP13_08,151,216.0,256,15+17,repression,5,sub22,106,530.0,0.6190476190476191,True,106,151,256,0
EP02_01,36,86.0,130,6+12+17,happiness,1,sub23,95,475.0,0.5319148936170213,True,95,36,130,0
EP03_14f,51,91.0,111,4+R10,disgust,4,sub23,61,305.0,0.6666666666666666,True,61,51,111,0
EP04_03f,16,91.0,115,14+15,repression,7,sub23,100,500.0,0.7575757575757576,True,100,16,115,0
EP05_24f,106,141.0,171,4+15+17,repression,7,sub23,66,330.0,0.5384615384615384,True,66,106,171,0
EP05_25f,51,86.0,131,4+7+10,disgust,4,sub23,81,405.0,0.4375,True,81,51,131,0
EP07_01,36,64.0,96,4,others,3,sub23,61,305.0,0.4666666666666667,True,61,36,96,0
EP12_02f,46,84.0,130,4+7+10,disgust,4,sub23,85,425.0,0.4523809523809524,True,85,46,130,0
EP12_03,86,129.0,161,4+10,disgust,4,sub23,76,380.0,0.5733333333333334,True,76,86,161,0
EP13_03,36,56.0,91,4,others,3,sub23,56,280.0,0.36363636363636365,True,56,36,91,0
EP13_04,21,41.0,86,17,repression,7,sub23,66,330.0,0.3076923076923077,True,66,21,86,0
EP13_07f,56,64.0,126,4,others,3,sub23,71,355.0,0.11428571428571428,True,71,56,126,0
EP17_01,81,114.0,146,4,others,3,sub23,66,330.0,0.5076923076923077,True,66,81,146,0
EP01_08,33,69.0,131,L7+L10,disgust,4,sub24,99,495.0,0.3673469387755102,True,99,33,131,0
EP02_02f,71,94.0,106,4+7,disgust,3,sub24,36,180.0,0.6571428571428571,True,36,71,106,0
EP07_01,24,41.0,66,1,sadness,5,sub24,43,215.0,0.40476190476190477,False,43,24,66,0
EP07_04f,4,24.0,41,1,sadness,5,sub24,38,190.0,0.5405405405405406,False,38,4,41,0
EP08_02,121,156.0,181,4,others,3,sub24,61,305.0,0.5833333333333334,True,61,121,181,0
EP10_01f,131,149.0,154,4,others,3,sub24,24,120.0,0.782608695652174,True,24,131,154,0
EP10_02,101,121.0,136,4,others,3,sub24,36,180.0,0.5714285714285714,True,36,101,136,0
EP10_03,334,356.0,376,1,sadness,5,sub24,43,215.0,0.5238095238095238,False,43,334,376,0
EP12_01,81,99.0,121,L6+L7,others,7,sub24,41,205.0,0.45,True,41,81,121,0
EP18_03,53,76.0,88,L1+L2,surprise,2,sub24,36,180.0,0.6571428571428571,True,36,53,88,0
EP03_01,56,81.0,116,24,others,7,sub25,61,305.0,0.4166666666666667,True,61,56,116,0
EP03_02,51,101.0,134,24,others,7,sub25,84,420.0,0.6024096385542169,True,84,51,134,0
EP09_02,76,101.0,111,4+7,disgust,3,sub25,36,180.0,0.7142857142857143,True,36,76,111,0
EP10_01,101,129.0,176,4+7,disgust,3,sub25,76,380.0,0.37333333333333335,True,76,101,176,0
EP10_10,61,91.0,158,R2,surprise,7,sub25,98,490.0,0.30927835051546393,True,98,61,158,0
EP12_01,131,151.0,186,R2,surprise,7,sub25,56,280.0,0.36363636363636365,True,56,131,186,0
EP18_04f,76,116.0,116,4+7,disgust,3,sub25,41,205.0,1.0,True,41,76,116,0
EP03_10,116,149.0,201,R12,happiness,1,sub26,86,430.0,0.38823529411764707,True,86,116,201,0
EP07_28,31,51.0,71,14,others,7,sub26,41,205.0,0.5,True,41,31,71,0
EP07_37,92,119.0,190,14,others,7,sub26,99,495.0,0.2755102040816326,True,99,92,190,0
EP08_04,31,79.0,89,4+7+12,others,7,sub26,59,295.0,0.8275862068965517,True,59,31,89,0
EP09_04,31,56.0,91,4+7,disgust,3,sub26,61,305.0,0.4166666666666667,True,61,31,91,0
EP09_09,46,76.0,101,4,disgust,3,sub26,56,280.0,0.5454545454545454,True,56,46,101,0
EP13_01,4,29.0,61,?,others,7,sub26,58,290.0,0.43859649122807015,True,58,4,61,0
EP13_02,32,54.0,116,R12,happiness,1,sub26,85,425.0,0.2619047619047619,True,85,32,116,0
EP13_11,20,59.0,101,4+9,disgust,4,sub26,82,410.0,0.48148148148148145,True,82,20,101,0
EP15_01,42,61.0,81,1+4,sadness,5,sub26,40,200.0,0.48717948717948717,False,40,42,81,0
EP16_01,26,54.0,76,4,disgust,3,sub26,51,255.0,0.56,True,51,26,76,0
EP18_44,11,36.0,71,4,disgust,3,sub26,61,305.0,0.4166666666666667,True,61,11,71,0
EP18_46,31,46.0,101,17,others,7,sub26,71,355.0,0.21428571428571427,True,71,31,101,0
EP18_47,6,49.0,86,4,disgust,3,sub26,81,405.0,0.5375,True,81,6,86,0
EP18_49,16,54.0,80,4,disgust,3,sub26,65,325.0,0.59375,True,65,16,80,0
EP18_50,78,99.0,161,4,disgust,3,sub26,84,420.0,0.25301204819277107,True,84,78,161,0
EP18_51,21,64.0,81,4,disgust,3,sub26,61,305.0,0.7166666666666667,True,61,21,81,0
